sentence,course,discipline,institution,contributor,stance,confidence,prob_disc,prob_cond,prob_enc
"Academic dishonesty includes taking content from an Internet search, another person/entity, or AI technology such as ChatGPT (either directly or with modification) and representing it as your answer.",CD115  Design Studio 1,Arts,Fashion Institute of Technology,Susan Leopold,discouraging,0.5508196949958801,0.5508197,0.38617912,0.0630012
Use of AI such as Chat GPT:,Digital Design Studio,Arts,Fashion Institute of Technology,Maura Jurgrau,encouraging,0.9235671758651733,0.044019878,0.03241305,0.9235672
"This is somewhat new territory at academic institutions and policies are being developed to address the potential negative impact of AI, which might lead to acts of plagiarism as well as diminish learning overall.",Digital Design Studio,Arts,Fashion Institute of Technology,Maura Jurgrau,encouraging,0.8407590389251709,0.10362766,0.055613246,0.84075904
"In an ideal world, Chat GPT can be/become an excellent teaching and learning tool, to help writers learn to edit, to expedite certain repetitive tasks, and to potentially free one up for the more creative parts of a job.",Digital Design Studio,Arts,Fashion Institute of Technology,Maura Jurgrau,encouraging,0.9729911088943481,0.014829008,0.012179799,0.9729911
"This is to say if used judiciously and with integrity, AI/Chat GPT can be a plus.",Digital Design Studio,Arts,Fashion Institute of Technology,Maura Jurgrau,encouraging,0.8324596881866455,0.086256035,0.08128425,0.8324597
"Again, for this course, all your work is your own and original, so stay clear of Chat GPT and other AI that creates any work, or part of the work for you.",Digital Design Studio,Arts,Fashion Institute of Technology,Maura Jurgrau,discouraging,0.5017732381820679,0.50177324,0.46381882,0.034407984
"Ethical Use of Generative AI in this Course

Generative AI (GAI) tools, such as ChatGPT, Google Gemini, DALL-E 2, and others, are transforming various aspects of society, including academic and scientific fields.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,encouraging,0.9656884074211121,0.022227423,0.012084213,0.9656884
"In this course, you may utilize GAI as an editor, translator, idea generator, data visualization tool, or tutor.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,encouraging,0.9797419905662537,0.010228572,0.010029338,0.979742
"GAI can be a powerful learning tool, but like all tools, it has limitations and weaknesses that you should be aware of.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.523884654045105,0.2170957,0.52388465,0.2590196
GAI can fabricate seemingly credible data and generate wholly inaccurate content that is nonetheless highly persuasive.,BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.8174868822097778,0.096869566,0.8174869,0.08564354
"Therefore, it is imperative that you carefully read and verify GAI-generated content when incorporating it into your learning experience.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.5228860974311829,0.07559091,0.5228861,0.40152302
"While GAI can be used to enhance your work, inappropriate and/or unethical use of GAI can negatively impact your education and professional development.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.5609089732170105,0.33178535,0.560909,0.10730568
"Graded Assignments and Exams:
   - Do not use GAI to generate answers for graded assignments or exams unless explicitly instructed to do so.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,discouraging,0.7746230959892273,0.7746231,0.1909019,0.034474965
"Violations will be considered academic dishonesty and subject to disciplinary sanctions as determined by the University. 
   - Using GAI to refine or paraphrase your work is acceptable, but the core ideas must be original.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,discouraging,0.6184619069099426,0.6184619,0.35445455,0.027083518
"If you use GAI to help outline, edit, or aid in completing an assignment, you must cite this and provide a 1-2 sentence description of how GAI was used (e.g., editor, idea generator, data visualization).",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,encouraging,0.8407087326049805,0.09924199,0.060049262,0.84070873
"Failure to cite GAI use, like any other source, is considered plagiarism.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,discouraging,0.6508873701095581,0.65088737,0.32321414,0.025898486
"2. Understanding and Enhancing Learning:
   - Use GAI to understand concepts or questions related to lecture materials, establish a study schedule, generate ideas for projects, translate text to supplement English comprehension, or check your grammar and refine your writing style.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,encouraging,0.851412832736969,0.094415896,0.054171193,0.85141283
- Be sure to cite the use of GAI in any assignments you turn in.,BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,encouraging,0.5496640801429749,0.34506416,0.1052718,0.5496641
"Be responsible; GAI should be used to enhance learning, not to bypass critical thinking or creativity.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,encouraging,0.46750178933143616,0.2206542,0.311844,0.4675018
Note: Other University courses and instructors may have different policies regarding the appropriate use of GAI.,BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,discouraging,0.5126388669013977,0.51263887,0.3723488,0.11501233
"In case of new developments in AI ethics or technology during the semester, the instructor reserves the right to amend this policy to protect academic integrity and ethical standards.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.45562171936035156,0.4141617,0.45562172,0.13021655
[This policy was edited for clarity using ChatGPTo],BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,discouraging,0.6925697326660156,0.69256973,0.18583594,0.12159438
Artificial Intelligence (AI) tools can be valuable for learning when used thoughtfully and responsibly.,BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,encouraging,0.9337766766548157,0.026716804,0.039506514,0.9337767
"In this course, you are encouraged to apply concepts you are learning with AI in a guided step-wise fashion.",BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,encouraging,0.9778403639793396,0.010750772,0.011408832,0.97784036
"AI may be used to help refine or enhance your work, but only after you have actively engaged with the material yourself.",BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,conditional,0.8806072473526001,0.06265686,0.88060725,0.05673588
Using AI to generate complete assignments without first attempting the work independently bypasses the learning process and limits your growth.,BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,discouraging,0.37852534651756287,0.37852535,0.31855088,0.3029238
"When used appropriately, AI can support your learning—when misused, it can get in the way of it.",BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,encouraging,0.78262859582901,0.0806075,0.13676386,0.7826286
"If you have any questions about how to use AI tools effectively in this class, please reach out to your professor.",BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,encouraging,0.9748120903968811,0.013149011,0.012038928,0.9748121
"The use of generative artificial intelligence (AI) tools (e.g., Copliot, ChatGPT, Notebook LM) is an emerging skill, and throughout the semester, I will provide basic tutorials about how to leverage it for our work.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,encouraging,0.9781212210655212,0.012160464,0.009718332,0.9781212
"In this course, the use of AI is permitted under the following guidelines*:
* Studying and Learning Support: You may use AI tools to study and enhance your understanding of course material.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,encouraging,0.7322133183479309,0.14173362,0.12605305,0.7322133
* Idea Generation: AI may be used to help generate project ideas and explore potential topics.,BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,encouraging,0.9627685546875,0.013329966,0.0239015,0.96276855
"* Research and Citation: When using AI to research topics, you must cite any information obtained from AI sources, just as you would with books, articles, or websites.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,conditional,0.8553591370582581,0.053834833,0.85535914,0.090806
Note: AI can sometimes produce factual errors.,BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,conditional,0.5079839825630188,0.39611652,0.507984,0.09589946
"* Assignments, Quizzes, and Exams: You may not use AI to generate direct answers to any written assignments, quizzes, or exams.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,discouraging,0.6451433300971985,0.64514333,0.31855872,0.036297914
* Summarizing and Synthesizing Information: You may use AI to help you summarize and synthesize information.,BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,encouraging,0.9618707895278931,0.017254656,0.020874603,0.9618708
"In such cases, you must include a brief description of how you used the AI tool in your process.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,encouraging,0.9358376264572144,0.034557104,0.029605221,0.9358376
*These guidelines were written by me and formatted using Chat GPT.,BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,discouraging,0.5081468820571899,0.5081469,0.33074147,0.16111164
"Due to the hands-on, exploratory nature of the content in this laboratory course, I do not allow any use of generative artificial intelligence (AI) tools (e.g., Copilot, ChatGPT, Notebook LM).",BIOL110L Introduction to Biology Laboratory,Biology,College of Marin,Wendy St. John,discouraging,0.550484836101532,0.55048484,0.30404663,0.14546852
"Use of Artificial Intelligence Tools Policy

This policy is designed to guide the responsible use of AI tools, promoting academic integrity, the value of personal intellectual growth, and the safe and ethical use of these tools.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.938612163066864,0.03794988,0.023437986,0.93861216
"While AI tools, such as ChatGPT, can aid in providing information and understanding, students are reminded that the value of their education comes from developing their own voice and ability to articulate unique perspectives.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9626308679580688,0.013634876,0.023734255,0.96263087
Using AI tools should not overshadow the importance of personal intellectual growth and expression.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.939506471157074,0.03412808,0.026365414,0.9395065
"Purpose of Use: AI tools should be used as a supplement to assist in understanding concepts, enhancing study, and providing information.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9676187038421631,0.013648044,0.018733265,0.9676187
"Citation and Transparency: If an AI tool is used, the entire chat dialog must be cited and included as an appendix attachment.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",discouraging,0.5213786363601685,0.52137864,0.3378696,0.14075178
This ensures transparency in the use of AI tools and helps to maintain academic integrity.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9093650579452515,0.037512623,0.053122338,0.90936506
"Reflection on AI Use: If a student chooses to use AI, they must include a reflection of their experience as an addendum at the end of each assignment.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.8336844444274902,0.09984652,0.06646903,0.83368444
"This reflection should include what they learned, how the AI was useful, and any limitations or challenges they encountered.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.8123070001602173,0.054631777,0.1330612,0.812307
"Accuracy of Information and Verification: While AI tools are powerful, they are not infallible.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.7334253191947937,0.16667332,0.7334253,0.099901356
Students are expected to cross-verify the information obtained from AI tools with other reliable sources and cite these verifying sources in their work.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5034093260765076,0.0392324,0.5034093,0.4573583
Limitations of Use: The use of AI tools for assignments should be limited to research and understanding of concepts.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.7705005407333374,0.16623278,0.77050054,0.06326672
"Prohibition on Use During Exams or Quizzes: The use of AI tools is strictly prohibited and forbidden when taking exams or quizzes, unless explicitly required as part of the exam or quiz instructions.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",discouraging,0.6353719234466553,0.6353719,0.29565975,0.06896837
"Violation of this rule can lead to severe academic penalties.
Ethics and Plagiarism: Students must not pass off the work generated by AI tools as their own.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",discouraging,0.6405829787254333,0.640583,0.2562119,0.1032051
"All work contributed by AI tools should be appropriately cited, similar to how students would cite a textbook or other resource.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.5949857831001282,0.08032693,0.32468733,0.5949858
Student Responsibility: It's the responsibility of the student to use AI tools ethically and appropriately.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.827260434627533,0.08916765,0.08357188,0.82726043
"Students must also strive to make their voices heard, ensuring that their original thoughts and perspectives remain at the forefront of their work.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9400225281715393,0.0198687,0.040108737,0.9400225
"Instructor's Discretion: Instructors may restrict or specify the use of AI tools for their courses as they see fit, in accordance with the overarching University and College of Business policies.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.54503333568573,0.36079848,0.54503334,0.09416816
Privacy and Data Handling: Each AI tool has its own policies regarding privacy and data handling.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.5103633403778076,0.28753442,0.20210226,0.51036334
Students are responsible for understanding and complying with the privacy policies of the AI tools they use.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.4632101058959961,0.33188823,0.4632101,0.20490167
Always exercise caution and avoid sharing sensitive personal information with AI tools.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5024545788764954,0.31673408,0.5024546,0.18081135
"---
Presumption of AI Use: In today's educational environment, we acknowledge that AI tools have become widely available resources for learning, similar to traditional research tools.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.975788414478302,0.014383816,0.009827773,0.9757884
"To maintain academic integrity while supporting your educational journey:
•        Documentation of AI use or non-use is mandatory for all assignments.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",discouraging,0.7106636762619019,0.7106637,0.1887698,0.100566566
Failure to include this statement will result in a score of zero on the assignment.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",discouraging,0.7593974471092224,0.75939745,0.14828494,0.092317574
"•        If you use AI tools, you must include the complete chat dialogue as an appendix to your assignment, with relevant information highlighted - this level of documentation helps ensure transparency and supports everyone's learning.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.7268216013908386,0.21159744,0.061580952,0.7268216
"•        If you choose not to use AI tools in your work, you must include a statement confirming this.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",discouraging,0.7424420714378357,0.7424421,0.15542011,0.102137804
•        Undisclosed use of AI tools in assignments may require academic review to ensure fair assessment of your work.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5436789393424988,0.42418087,0.54367894,0.032140207
"•        Various methods may be used to verify adherence to this policy, including AI detection tools, as part of our regular assessment process.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.49304503202438354,0.30185306,0.49304503,0.20510195
•        Our focus is on ensuring that AI tools enhance rather than replace your learning and critical thinking development.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9529508352279663,0.026540883,0.02050826,0.95295084
"This policy is designed to guide the responsible use of AI tools, promoting academic integrity, the value of personal intellectual growth, and the safe and ethical use of these tools.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9569162130355835,0.023731485,0.019352352,0.9569162
"---
Use of Artificial Intelligence in Student Assessment
Artificial Intelligence (AI) technologies may be used to assist in grading, evaluating student work, and conducting institutional assessments.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.9515104293823242,0.02448289,0.02400661,0.9515104
Student work may be analyzed or graded using AI tools.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.8632019758224487,0.034396082,0.10240192,0.863202
"2.        Student privacy remains a priority, and FERPA guidelines will inform our privacy practices in AI-assisted assessment.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.8677957057952881,0.08365201,0.048552286,0.8677957
Human oversight will be maintained in the assessment process.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5086190700531006,0.27257288,0.50861907,0.21880805
"Only AI systems with zero data retention policies may be used for assessment purposes, ensuring the protection of student data and work.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.6865167021751404,0.26294968,0.6865167,0.050533626
Students retain their intellectual property rights to their original work.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.4161566197872162,0.17434025,0.41615662,0.40950313
"For questions or concerns about AI use in assessments, contact your instructor.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.6862154006958008,0.14647268,0.1673119,0.6862154
"---
Several GenAI models were used in the creation of this document, including but not limed to ChatGPT, Claude, Co-pilot, and Gemini. -Jan",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",encouraging,0.4758504033088684,0.37760422,0.14654545,0.4758504
"I expect you to use AI (ChatGPT and image generation tools, at a minimum), in this class.",Business,Business,Wharton School University of Pennsylvania,Ethan Mollick,encouraging,0.9364407062530518,0.040542267,0.023017036,0.9364407
"Learning to use AI is an emerging skill, and I provide tutorials in Canvas about how to use them.",Business,Business,Wharton School University of Pennsylvania,Ethan Mollick,encouraging,0.9733307361602783,0.015883172,0.010786181,0.97333074
"Be aware of the limits of ChatGPT:

If you provide minimum effort prompts, you will get low quality results.",Business,Business,Wharton School University of Pennsylvania,Ethan Mollick,discouraging,0.6535011529922485,0.65350115,0.27364683,0.07285196
"AI is a tool, but one that you need to acknowledge using.",Business,Business,Wharton School University of Pennsylvania,Ethan Mollick,encouraging,0.6898362040519714,0.15550604,0.15465777,0.6898362
Please include a paragraph at the end of any assignment that uses AI explaining what you used the AI for and what prompts you used to get the results.,Business,Business,Wharton School University of Pennsylvania,Ethan Mollick,encouraging,0.920872688293457,0.046512645,0.032614596,0.9208727
Failure to do so is in violation of the academic honesty policies.,Business,Business,Wharton School University of Pennsylvania,Ethan Mollick,discouraging,0.7218959331512451,0.72189593,0.18378127,0.0943229
"ARTIFICIAL INTELLIGENCE (AI) POLICY
This course encourages and embraces the ethical use of Artificial Intelligence (AI).",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,encouraging,0.9593425989151001,0.029180083,0.011477273,0.9593426
"Throughout the course, it is essential to utilize generative AI systems, including but not limited to Text to Text, Text to Image, Text to Audio, and Image to Video, in a manner that upholds integrity.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,discouraging,0.4115298390388489,0.41152984,0.32701585,0.26145425
"As a student in this course, you are expected to actively incorporate AI tools while upholding integrity.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,encouraging,0.8499424457550049,0.09940067,0.050656877,0.84994245
"You hold the responsibility to assess the integrity and impartiality of your submissions, ensuring they remain unbiased.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.6988623738288879,0.15299903,0.6988624,0.1481386
"It is important to recognize that AI has inherent limitations, and human supervision is necessary to verify the quality and appropriateness of the output.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.8787736296653748,0.08821946,0.8787736,0.033006884
"Thus, exercising responsible AI usage requires human oversight and verification.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.632108211517334,0.20724557,0.6321082,0.16064623
This entails a careful review to confirm the accuracy and suitability of the AI-generated content before submission.,ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.7863488793373108,0.170105,0.7863489,0.0435461
"AI Acknowledgement: To promote transparency, every assignment must include an ""AI Acknowledgement"" section.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,encouraging,0.766525149345398,0.18645997,0.047014907,0.76652515
This section should clearly explain how AI was employed in the preparation and composition of the assignment.,ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,encouraging,0.9684308171272278,0.01825371,0.013315379,0.9684308
This acknowledgement allows us to acknowledge the role of AI in the learning process and understand its impact on the work produced.,ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,encouraging,0.9663019180297852,0.016718347,0.016979735,0.9663019
"By adhering to this AI policy, we aim to cultivate a learning environment where AI tools are utilized responsibly, ensuring the integrity of our work and promoting ethical AI practices throughout the course.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,encouraging,0.9143569469451904,0.052842833,0.032800265,0.91435695
"In the age of Generative AI, personal integrity, critical thinking, decision making, communication, and collaboration will remain the most important human attributes.",J401: Administrative Policy,Business,Indiana University,Aycan Kara,encouraging,0.9401865601539612,0.030759266,0.029054137,0.94018656
"Due to the nature of this class, you will be working with other students, and you will be utilizing generative AI tools, chatbots such as ChatGPT, Brad, Bing etc.",J401: Administrative Policy,Business,Indiana University,Aycan Kara,encouraging,0.9708554148674011,0.017538875,0.011605796,0.9708554
"Generative AI tools do make up incorrect facts, fake citations, and generate offensive content.",J401: Administrative Policy,Business,Indiana University,Aycan Kara,discouraging,0.5623543858528137,0.5623544,0.25094807,0.18669753
"You are responsible for any inaccurate, biased, offensive, or otherwise unethical content you submit regardless of whether you wrote it or used a generative AI tool.",J401: Administrative Policy,Business,Indiana University,Aycan Kara,discouraging,0.6148761510848999,0.61487615,0.35090733,0.034216534
